date,value
2024-02-07 14:59:55,7.9
2024-02-07 15:59:55,7.1
2024-02-07 16:59:55,6.3
2024-02-07 17:59:55,5.7
2024-02-07 18:59:55,5.1
2024-02-07 19:59:55,4.4
2024-02-07 20:59:55,3.9
2024-02-07 21:59:55,3.6
2024-02-07 22:59:55,3.6
2024-02-07 23:59:55,3.3
2024-02-08 00:59:55,2.9
2024-02-08 01:59:55,3.1
2024-02-08 02:59:55,3.4
2024-02-08 03:59:55,3.7
2024-02-08 04:59:55,3.7
2024-02-08 05:59:55,3.6
2024-02-08 06:59:55,3.8
2024-02-08 07:59:55,3.9
2024-02-08 08:59:55,3.9
2024-02-08 09:59:55,3.9
2024-02-08 10:59:55,3.8
2024-02-08 11:59:55,4.4
2024-02-08 12:59:55,5.4
2024-02-08 13:59:55,6.1
2024-02-08 14:59:55,6.8
2024-02-08 15:59:55,7.5
2024-02-08 16:59:55,8.3
2024-02-08 17:59:55,8.5
2024-02-08 18:59:55,8
2024-02-08 19:59:55,7.5
2024-02-08 20:59:55,7
2024-02-08 21:59:55,6.4
2024-02-08 22:59:55,6
2024-02-08 23:59:55,5.4
2024-02-09 00:59:55,4.9
2024-02-09 01:59:55,4.7
2024-02-09 02:59:55,4.7
2024-02-09 03:59:55,4.8
2024-02-09 04:59:55,4.9
2024-02-09 05:59:55,5.1
2024-02-09 06:59:55,6.1
2024-02-09 07:59:55,7.3
2024-02-09 08:59:55,8.7
2024-02-09 09:59:55,9.7
2024-02-09 10:59:55,10.5
2024-02-09 11:59:55,11
2024-02-09 12:59:55,11
2024-02-09 13:59:55,11
2024-02-09 14:59:55,11.1
2024-02-09 15:59:55,11.4
2024-02-09 16:59:55,11.9
2024-02-09 17:59:55,12.5
2024-02-09 18:59:55,12.6
2024-02-09 19:59:55,12.2
2024-02-09 20:59:55,11.9
2024-02-09 21:59:55,11.6
2024-02-09 22:59:55,11.3
2024-02-09 23:59:55,10.8
2024-02-10 00:59:55,10.9
2024-02-10 01:59:55,11.3
2024-02-10 02:59:55,11.4
2024-02-10 03:59:55,11.3
2024-02-10 04:59:55,11
2024-02-10 05:59:55,10.7
2024-02-10 06:59:55,10.7
2024-02-10 07:59:55,11
2024-02-10 08:59:55,11
2024-02-10 09:59:55,11
2024-02-10 10:59:55,11.2
2024-02-10 11:59:55,12.2
2024-02-10 12:59:55,13.1
2024-02-10 13:59:55,13.4
2024-02-10 14:59:55,13.6
2024-02-10 15:59:55,14.2
2024-02-10 16:59:55,15
2024-02-10 17:59:55,15.9
2024-02-10 18:59:55,16.7
2024-02-10 19:59:55,17.6
2024-02-10 20:59:55,18.9
2024-02-10 21:59:55,20.1
2024-02-10 22:59:55,20.7
2024-02-10 23:59:55,20.3
2024-02-11 00:59:55,19.3
2024-02-11 01:59:55,18.3
2024-02-11 02:59:55,17.6
2024-02-11 03:59:55,17
2024-02-11 04:59:55,16.8
2024-02-11 05:59:55,16.5
2024-02-11 06:59:55,15.4
2024-02-11 07:59:55,13.8
2024-02-11 08:59:55,12
2024-02-11 09:59:55,10.4
2024-02-11 10:59:55,9.4
2024-02-11 11:59:55,9.2
2024-02-11 12:59:55,9.4
2024-02-11 13:59:55,9.1
2024-02-11 14:59:55,8.7
2024-02-11 15:59:55,8
2024-02-11 16:59:55,7.4
2024-02-11 17:59:55,2.7
2024-02-11 18:59:55,0
2024-02-11 19:59:55,0
2024-02-11 20:59:55,0
2024-02-11 21:59:55,0
2024-02-11 22:59:55,0
2024-02-11 23:59:55,0
2024-02-12 00:59:55,0
2024-02-12 01:59:55,0
2024-02-12 02:59:55,0
2024-02-12 03:59:55,0
2024-02-12 04:59:55,0
2024-02-12 05:59:55,0
2024-02-12 06:59:55,0
2024-02-12 07:59:55,0
2024-02-12 08:59:55,0
2024-02-12 09:59:55,0
2024-02-12 10:59:55,0
2024-02-12 11:59:55,0
2024-02-12 12:59:55,0
2024-02-12 13:59:55,0
2024-02-12 14:59:55,0
2024-02-12 15:59:55,0.2
2024-02-12 16:59:55,0.7
2024-02-12 17:59:55,1.9
2024-02-12 18:59:55,2.9
2024-02-12 19:59:55,3.1
2024-02-12 20:59:55,3
2024-02-12 21:59:55,3.1
2024-02-12 22:59:55,3.6
2024-02-12 23:59:55,4.4
2024-02-13 00:59:55,4.5
2024-02-13 01:59:55,4.5
2024-02-13 02:59:55,5.2
2024-02-13 03:59:55,6
2024-02-13 04:59:55,6.4
2024-02-13 05:59:55,5.9
2024-02-13 06:59:55,5.1
2024-02-13 07:59:55,5.5
2024-02-13 08:59:55,6.2
2024-02-13 09:59:55,6.4
2024-02-13 10:59:55,6
2024-02-13 11:59:55,5.4
2024-02-13 12:59:55,6.1
2024-02-13 13:59:55,6.8
2024-02-13 14:59:55,6.8
2024-02-13 15:59:55,6.1
2024-02-13 16:59:55,5.4
2024-02-13 17:59:55,5.3
2024-02-13 18:59:55,5.4
2024-02-13 19:59:55,4.9
2024-02-13 20:59:55,4.5
2024-02-13 21:59:55,4.5
2024-02-13 22:59:55,5
2024-02-13 23:59:55,5.6
2024-02-14 00:59:55,4.9
2024-02-14 01:59:55,4.3
2024-02-14 02:59:55,4.3
2024-02-14 03:59:55,4.7
2024-02-14 04:59:55,5.3
2024-02-14 05:59:55,5.2
2024-02-14 06:59:55,5.1
2024-02-14 07:59:55,5.5
2024-02-14 08:59:55,6.1
2024-02-14 09:59:55,6.4
2024-02-14 10:59:55,6.4
2024-02-14 11:59:55,6.5
2024-02-14 12:59:55,7.1
2024-02-14 13:59:55,7.2
2024-02-14 14:59:55,6.8
2024-02-14 15:59:55,6.3
2024-02-14 16:59:55,6
2024-02-14 17:59:55,6.5
2024-02-14 18:59:55,6.8
2024-02-14 19:59:55,6.5
2024-02-14 20:59:55,6.4
2024-02-14 21:59:55,6.6
2024-02-14 22:59:55,7.1
2024-02-14 23:59:55,7.1
2024-02-15 00:59:55,6.8
2024-02-15 01:59:55,6.7
2024-02-15 02:59:55,6.8
2024-02-15 03:59:55,7
2024-02-15 04:59:55,7.1
2024-02-15 05:59:55,6.9
2024-02-15 06:59:55,6.5
2024-02-15 07:59:55,6.3
2024-02-15 08:59:55,6
2024-02-15 09:59:55,5.6
2024-02-15 10:59:55,5.2
2024-02-15 11:59:55,5.1
2024-02-15 12:59:55,5
2024-02-15 13:59:55,4.8
2024-02-15 14:59:55,4.9
2024-02-15 15:59:55,5.1
2024-02-15 16:59:55,5.4
2024-02-15 17:59:55,5.8
2024-02-15 18:59:55,6.4
2024-02-15 19:59:54,6.4
2024-02-15 20:59:54,5.8
2024-02-15 21:59:54,5
2024-02-15 22:59:54,4.2
2024-02-15 23:59:54,4
2024-02-16 00:59:54,5.1
2024-02-16 01:59:54,6.4
2024-02-16 02:59:54,7.3
2024-02-16 03:59:54,7.6
2024-02-16 04:59:54,7.3
2024-02-16 05:59:54,6.4
2024-02-16 06:59:54,5.6
2024-02-16 07:59:54,5.7
2024-02-16 08:59:54,6.2
2024-02-16 09:59:54,6.8
2024-02-16 10:59:54,7.2
2024-02-16 11:59:54,7.4
2024-02-16 12:59:54,7.4
2024-02-16 13:59:54,7.2
2024-02-16 14:59:54,6.6
2024-02-16 15:59:54,6
2024-02-16 16:59:54,5.6
2024-02-16 17:59:54,5.4
2024-02-16 18:59:54,5.4
2024-02-16 19:59:54,5
2024-02-16 20:59:54,4.3
2024-02-16 21:59:54,3.6
2024-02-16 22:59:54,3.3
2024-02-16 23:59:54,3.3
2024-02-17 00:59:54,3.2
2024-02-17 01:59:54,3.8
2024-02-17 02:59:54,5.1
2024-02-17 03:59:54,6.6
2024-02-17 04:59:54,8
2024-02-17 05:59:54,9.1
2024-02-17 06:59:54,10
2024-02-17 07:59:54,10.6
2024-02-17 08:59:54,11
2024-02-17 09:59:54,11.1
2024-02-17 10:59:54,10.5
2024-02-17 11:59:54,9.1
2024-02-17 12:59:54,7.4
2024-02-17 13:59:54,5.2
2024-02-17 14:59:54,2.8
2024-02-17 15:59:54,0.7
2024-02-17 16:59:54,-0.7
2024-02-17 17:59:54,-1.1
2024-02-17 18:59:54,-0.6
2024-02-17 19:59:54,0.4
2024-02-17 20:59:54,1.7
2024-02-17 21:59:54,3.2
2024-02-17 22:59:54,5.1
2024-02-17 23:59:54,7
2024-02-18 00:59:54,8.7
2024-02-18 01:59:54,9.8
2024-02-18 02:59:54,10.4
2024-02-18 03:59:54,10.4
2024-02-18 04:59:54,9.9
2024-02-18 05:59:54,8.8
2024-02-18 06:59:54,7.4
2024-02-18 07:59:54,6.2
2024-02-18 08:59:54,5.2
